surveyID	eventDurationValue	eventDurationUnit	dynamicProperties	targetTaxonomicScope	taxonCompletenessReported	taxonCompletenessProtocols	isTaxonomicScopeFullyReported	isAbsenceReported	hasNonTargetTaxa	isAbundanceReported	isLeastSpecificTargetCategoryQuantityInclusive	hasMaterialSamples	isSamplingEffortReported	samplingPerformedBy
185-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
186-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
187-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
188-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
189-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
190-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
191-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
192-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
193-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
194-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
195-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
196-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
197-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
198-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
199-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
200-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
201-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
202-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
203-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
204-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
205-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
206-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
207-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
208-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
209-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
210-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
211-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
212-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
213-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
214-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
215-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
216-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
217-1	1	day	{""""research_program"""": """"INACH""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	INACH
