surveyID	surveyTargetValue	surveyTargetType	includeOrExclude	surveyTargetID
1-1	Hydrurga leptonyx	taxon	include	231417
1-1	Leptonychotes weddellii	taxon	include	195932
1-1	Lobodon carcinophaga	taxon	include	344008
1-1	Mirounga leonina	taxon	include	231413
1-2	Hydrurga leptonyx	taxon	include	231417
1-2	Leptonychotes weddellii	taxon	include	195932
1-2	Lobodon carcinophaga	taxon	include	344008
1-2	Mirounga leonina	taxon	include	231413
10-1	Hydrurga leptonyx	taxon	include	231417
10-1	Leptonychotes weddellii	taxon	include	195932
10-1	Lobodon carcinophaga	taxon	include	344008
10-1	Mirounga leonina	taxon	include	231413
10-2	Hydrurga leptonyx	taxon	include	231417
10-2	Leptonychotes weddellii	taxon	include	195932
10-2	Lobodon carcinophaga	taxon	include	344008
10-2	Mirounga leonina	taxon	include	231413
100-1	Hydrurga leptonyx	taxon	include	231417
100-1	Leptonychotes weddellii	taxon	include	195932
100-1	Lobodon carcinophaga	taxon	include	344008
100-1	Mirounga leonina	taxon	include	231413
100-2	Hydrurga leptonyx	taxon	include	231417
100-2	Leptonychotes weddellii	taxon	include	195932
100-2	Lobodon carcinophaga	taxon	include	344008
100-2	Mirounga leonina	taxon	include	231413
101-1	Hydrurga leptonyx	taxon	include	231417
101-1	Leptonychotes weddellii	taxon	include	195932
101-1	Lobodon carcinophaga	taxon	include	344008
101-1	Mirounga leonina	taxon	include	231413
101-2	Hydrurga leptonyx	taxon	include	231417
101-2	Leptonychotes weddellii	taxon	include	195932
101-2	Lobodon carcinophaga	taxon	include	344008
101-2	Mirounga leonina	taxon	include	231413
102-1	Hydrurga leptonyx	taxon	include	231417
102-1	Leptonychotes weddellii	taxon	include	195932
102-1	Lobodon carcinophaga	taxon	include	344008
102-1	Mirounga leonina	taxon	include	231413
102-2	Hydrurga leptonyx	taxon	include	231417
102-2	Leptonychotes weddellii	taxon	include	195932
102-2	Lobodon carcinophaga	taxon	include	344008
102-2	Mirounga leonina	taxon	include	231413
