surveyID	eventDurationValue	eventDurationUnit	taxonCompletenessReported	isTaxonomicScopeFullyReported	targetHabitatScope	excludedTargetHabitatScope	isAbsenceReported	hasNonTargetTaxa	isAbundanceReported	isLeastSpecificTargetCategoryQuantityInclusive	hasMaterialSamples	samplingEffortProtocolID	samplingPerformedBy
185-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
186-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
187-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
188-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
189-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
190-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
191-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
192-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
193-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
194-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
195-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
196-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
197-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
198-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
199-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
200-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
201-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
202-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
203-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
204-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
205-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
206-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
207-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
208-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
209-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
210-1	1	day	notReported	true	phocids hauled-out location on land	ice, offshore, water	true	false	true	false	false	https://doi.org/10.1038/s41597-024-03744-9	INACH
