observedTaxon	observedTaxonID	organismQuantity	sex	lifeStage	organismQuantityType	surveyTargetID
Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	1	indeterminate	pup	individual	1-1-344008
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	female	adult	individuals	1-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	10	male	adult	individuals	1-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	female	juvenile	individuals	1-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	20	male	juvenile	individuals	1-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	16	indeterminate	juvenile	individuals	1-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	73	indeterminate	pup	individuals	1-1-231413
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	12	female	adult	individuals	1-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	14	male	adult	individuals	1-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	indeterminate	adult	individuals	1-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	juvenile	individuals	1-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	male	adult	individual	1-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	female	juvenile	individuals	1-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	11	male	juvenile	individuals	1-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	indeterminate	juvenile	individuals	1-2-231413
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	5	female	adult	individuals	1-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	5	male	adult	individuals	1-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	adult	individual	1-2-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	female	adult	individuals	2-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	6	male	adult	individuals	2-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	12	female	juvenile	individuals	2-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	78	male	juvenile	individuals	2-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	17	indeterminate	juvenile	individuals	2-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	71	indeterminate	pup	individuals	2-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	indeterminate	unknown	individuals	2-1-231413
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	10	female	adult	individuals	2-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	8	male	adult	individuals	2-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	female	juvenile	individuals	2-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	juvenile	individuals	2-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	indeterminate	juvenile	individuals	2-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	pup	individual	2-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	5	female	juvenile	individuals	2-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	24	male	juvenile	individuals	2-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	3	indeterminate	juvenile	individuals	2-2-231413
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	adult	individuals	2-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	adult	individuals	2-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	5	indeterminate	adult	individuals	2-2-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	7	female	adult	individuals	3-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	16	female	juvenile	individuals	3-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	95	male	juvenile	individuals	3-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	44	indeterminate	juvenile	individuals	3-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	50	indeterminate	pup	individuals	3-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	male	juvenile	individual	3-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	12	female	adult	individuals	3-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	12	male	adult	individuals	3-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	juvenile	individuals	3-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	juvenile	individuals	3-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	indeterminate	pup	individuals	3-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	female	juvenile	individuals	3-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	25	male	juvenile	individuals	3-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	16	indeterminate	juvenile	individuals	3-2-231413
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	adult	individuals	3-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	adult	individuals	3-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	adult	individual	3-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	juvenile	individuals	3-2-195932
Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	1	female	adult	individual	4-1-344008
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	5	female	adult	individuals	4-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	16	female	juvenile	individuals	4-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	60	male	juvenile	individuals	4-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	87	indeterminate	juvenile	individuals	4-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	21	indeterminate	pup	individuals	4-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	female	adult	individual	4-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	7	female	adult	individuals	4-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	5	male	adult	individuals	4-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	juvenile	individuals	4-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	juvenile	individuals	4-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	juvenile	individual	4-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	male	adult	individual	4-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	17	female	juvenile	individuals	4-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	25	male	juvenile	individuals	4-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	9	indeterminate	juvenile	individuals	4-2-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	female	adult	individual	4-2-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	female	adult	individuals	4-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	adult	individuals	4-2-195932
Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	1	indeterminate	juvenile	individual	5-1-344008
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	35	female	adult	individuals	5-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	14	female	juvenile	individuals	5-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	81	male	juvenile	individuals	5-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	49	indeterminate	juvenile	individuals	5-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	indeterminate	pup	individuals	5-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	7	female	adult	individuals	5-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	2	indeterminate	adult	individuals	5-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	female	adult	individuals	5-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	7	male	adult	individuals	5-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	female	juvenile	individual	5-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	female	adult	individual	5-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	10	female	juvenile	individuals	5-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	13	male	juvenile	individuals	5-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	20	indeterminate	juvenile	individuals	5-2-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	indeterminate	adult	individual	5-2-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	8	female	adult	individuals	5-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	male	adult	individuals	5-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	indeterminate	adult	individuals	5-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	juvenile	individuals	5-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	juvenile	individuals	5-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	juvenile	individual	5-2-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	54	female	adult	individuals	6-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	male	adult	individual	6-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	female	juvenile	individuals	6-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	54	male	juvenile	individuals	6-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	41	indeterminate	juvenile	individuals	6-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	5	indeterminate	pup	individuals	6-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	indeterminate	unknown	individual	6-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	4	female	adult	individuals	6-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	male	juvenile	individual	6-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	5	female	adult	individuals	6-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	male	adult	individuals	6-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	female	juvenile	individuals	6-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	male	juvenile	individual	6-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	female	adult	individual	6-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	male	adult	individuals	6-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	female	juvenile	individuals	6-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	13	male	juvenile	individuals	6-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	8	indeterminate	juvenile	individuals	6-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	indeterminate	pup	individual	6-2-231413
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	female	adult	individuals	6-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	adult	individuals	6-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	5	indeterminate	adult	individuals	6-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	male	juvenile	individual	6-2-195932
Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	1	indeterminate	juvenile	individual	7-1-344008
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	37	female	adult	individuals	7-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	7	female	juvenile	individuals	7-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	47	male	juvenile	individuals	7-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	31	indeterminate	juvenile	individuals	7-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	indeterminate	pup	individuals	7-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	42	indeterminate	unknown	individuals	7-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	10	female	adult	individuals	7-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	male	juvenile	individual	7-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	female	adult	individuals	7-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	adult	individuals	7-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	adult	individual	7-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	juvenile	individuals	7-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	male	juvenile	individual	7-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	female	juvenile	individuals	7-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	male	juvenile	individuals	7-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	14	indeterminate	juvenile	individuals	7-2-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	female	adult	individual	7-2-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	adult	individuals	7-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	adult	individuals	7-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	indeterminate	adult	individuals	7-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	juvenile	individuals	7-2-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	174	female	adult	individuals	8-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	male	adult	individuals	8-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	12	female	juvenile	individuals	8-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	35	male	juvenile	individuals	8-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	4	indeterminate	juvenile	individuals	8-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	5	indeterminate	unknown	individuals	8-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	11	female	adult	individuals	8-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	indeterminate	adult	individual	8-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	female	adult	individuals	8-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	male	adult	individuals	8-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	female	juvenile	individual	8-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	male	juvenile	individual	8-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	7	female	adult	individuals	8-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	male	juvenile	individual	8-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	indeterminate	pup	individuals	8-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	3	indeterminate	unknown	individuals	8-2-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	2	female	adult	individuals	8-2-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	female	adult	individuals	8-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	male	adult	individuals	8-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	indeterminate	adult	individuals	8-2-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	230	female	adult	individuals	9-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	3	male	adult	individuals	9-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	3	female	juvenile	individuals	9-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	19	male	juvenile	individuals	9-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	22	indeterminate	juvenile	individuals	9-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	13	female	adult	individuals	9-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	indeterminate	adult	individual	9-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	indeterminate	juvenile	individual	9-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	14	female	adult	individuals	9-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	male	adult	individuals	9-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	adult	individual	9-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	female	juvenile	individual	9-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	juvenile	individuals	9-1-195932
Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	1	indeterminate	juvenile	individual	10-1-344008
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	232	female	adult	individuals	10-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	male	adult	individual	10-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	3	female	juvenile	individuals	10-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	17	male	juvenile	individuals	10-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	13	indeterminate	juvenile	individuals	10-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	indeterminate	unknown	individual	10-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	15	female	adult	individuals	10-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	indeterminate	adult	individual	10-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	female	adult	individuals	10-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	5	male	adult	individuals	10-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	4	indeterminate	adult	individuals	10-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	juvenile	individual	10-1-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	5	female	adult	individuals	10-2-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	1	male	juvenile	individual	10-2-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	4	female	adult	individuals	10-2-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	adult	individuals	10-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	male	adult	individuals	10-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	2	female	juvenile	individuals	10-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	juvenile	individual	10-2-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	199	female	adult	individuals	11-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	11	male	juvenile	individuals	11-1-231413
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	2	indeterminate	juvenile	individuals	11-1-231413
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	12	female	adult	individuals	11-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	2	indeterminate	adult	individuals	11-1-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	male	juvenile	individual	11-1-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	female	adult	individuals	11-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	adult	individuals	11-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	indeterminate	adult	individual	11-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	female	juvenile	individual	11-1-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	juvenile	individuals	11-1-195932
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	5	female	adult	individuals	11-2-231417
Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	1	indeterminate	adult	individual	11-2-231417
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	1	female	adult	individual	11-2-195932
Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	3	male	adult	individuals	11-2-195932
Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	90	female	adult	individuals	12-1-231413
